# Temporary.  List of images names, the storage account sub-path for each one, and the list of storage accounts that,,,,,
# contain the image.,,,,,,,
# Format:,,,,,,,
# Image Name,Labels,Storage Account Sub Path,Semi-colon delimited list of storage accounts, or All for all storage accounts in StorageAccounts.txt,,,
ImageName,Labels,OSType,Container,BlobName,StorageAccounts,StartupScriptPath,AgentWorkspace
win2012-20170608-elevated,win2012-20170608-elevated,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20170901-osDisk.c590a93c-feff-426f-b9c4-4e9f016bbd79.vhd,All,./startupScripts/win2012-20170608-elevated.ps1,D:\j
win2012-20170929,win2012-20170929,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20170929-osDisk.7e6e482f-dac1-41a7-a441-8197493b6d42.vhd,All,./startupScripts/win2012-20170929.ps1,D:\j
win2012-20170929-elevated,win2012-20170929-elevated,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20170929-osDisk.7e6e482f-dac1-41a7-a441-8197493b6d42.vhd,All,./startupScripts/win2012-20170929-elevated.ps1,D:\j
win2012-20171002,win2012-20171002,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20171002-osDisk.93557456-4eea-4a49-9d47-11c7975212cf.vhd,All,./startupScripts/win2012-20171002.ps1,D:\j
win2012-20171002-elevated,win2012-20171002-elevated,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20171002-osDisk.93557456-4eea-4a49-9d47-11c7975212cf.vhd,All,./startupScripts/win2012-20171002-elevated.ps1,D:\j
win2012-20171003,win2012-20171003,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20171003-osDisk.929c4ad2-0928-4a0c-ae83-502bbf1babae.vhd,All,./startupScripts/win2012-20171003.ps1,D:\j
win2012-20171003-elevated,win2012-20171003-elevated,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20171003-osDisk.929c4ad2-0928-4a0c-ae83-502bbf1babae.vhd,All,./startupScripts/win2012-20171003-elevated.ps1,D:\j
win2012-20170809-elevated,win2012-20170809-elevated,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20170809-osDisk.ef241cfc-5386-4f2c-aa97-6d18e8e3b743.vhd,All,./startupScripts/win2012-20170809-elevated.ps1,D:\j
win2012-20170810,win2012-20170810,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20170831-osDisk.19ccc82b-22a3-457e-b13f-f5ddb9f37688.vhd,All,./startupScripts/win2012-20170810.ps1,D:\j
win2012-20171027,win2012-20171027,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20171027-osDisk.a84cf04a-f463-4747-afe7-d79299f898e9.vhd,All,./startupScripts/win2012-20171027.ps1,D:\j
win2016-base,win2016-base,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170822-osDisk.649b4b84-b169-4e34-9b64-695ed62a6f79.vhd,All,./startupScripts/win2016-base.ps1,D:\j
win2016-20161018-1,win2016-20161018-1,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170824-osDisk.696bc068-4083-418f-aaaf-65380726c54c.vhd,All,./startupScripts/win2016-20161018-1.ps1,D:\j
win2016-20170214,win2016-20170214,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170829-osDisk.8b6a542f-18fc-40de-90a0-a243ad274c50.vhd,All,./startupScripts/win2016-20170214.ps1,D:\j
win2016-20170510,win2016-20170510,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170905-osDisk.d6e11efc-550f-447d-95e6-068dfddf56fb.vhd,All,./startupScripts/win2016-20170510.ps1,D:\j
win2016-20170613,win2016-20170613,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170906-osDisk.841deadd-47c0-43b0-9b00-99057fb109bb.vhd,All,./startupScripts/win2016-20170613.ps1,D:\j
